ID,TENANT_ID,PROPERTY_ID,RENT_MONTH,PENALTY_AMOUNT,CURRENT_RENT,RECEIVED_AMOUNT,PAYMENT_METHOD,CHEQUE_NUMBER,CHEQUE_DATE,BANK_NAME,BANK_BRANCH,ENTRY_CREATED_ON,ENTRY_UPDATED_ON,GROUP_PAYMENT_ID,PAYMENT_TYPE
1A72E8E1-4492-4AEA-B295-00024260E787,51A8A594-86B0-4C5D-A4C2-A40DFD1B19BB,AB23F556-57EC-4461-9A63-9975F3B67B50,01-07-22,0,3571,3571,1,,07-07-22,,,34:03.6,34:03.6,98B1C3E5-869E-44C6-B652-BC2E2D4E94C8,0
BF23801E-1E8D-455A-9FF4-0006AE92232F,368A31EF-6E04-4244-9F87-3EC7B48C151B,AB23F556-57EC-4461-9A63-9975F3B67B50,01-06-21,0,821,821,1,,25-11-21,,,00:18.4,00:18.4,E673AC73-D484-41C5-A085-D03FDEF9A5B3,0
BB1D21A5-1681-4649-AA99-000720CA73C1,B09D32CD-2A1B-4A63-AC9A-FEFC5F33B332,AB23F556-57EC-4461-9A63-9975F3B67B50,01-11-22,0,2442,2442,1,,20-12-22,,,27:57.8,27:57.8,F02FAABA-0BB5-4BCD-A359-033204698354,0
2F243731-5AFA-4C7C-9CAE-00078CE5892D,698F2207-8FA3-4D80-B643-9046F17E9F0A,AB23F556-57EC-4461-9A63-9975F3B67B50,01-12-23,0,1864,1864,1,237261,17-11-23,,,10:38.7,10:38.7,59C2CC5E-0E58-491D-93FC-ABB77C6A5F09,0
4EC87287-5A29-4934-A0B7-000A3215808B,E99F9C52-A3E4-4EAE-8D92-A38CEF71D079,AB23F556-57EC-4461-9A63-9975F3B67B50,01-12-24,0,2868,2868,0,,21-11-24,,,53:33.8,53:33.8,8338C052-58CE-4E4A-A3D3-D159ADE74BFF,0
C9D40D09-5DAE-4551-B47C-00161C3892DF,26CE6F37-3833-4770-8200-AB9628737E15,AB23F556-57EC-4461-9A63-9975F3B67B50,01-02-22,0,7837,7837,1,613694,11-03-22,CBI,,39:57.5,39:57.5,D032A8F1-4946-4FDE-9887-A66CE1EF0EFE,0
96A0FBF4-B7D8-4513-ABD0-001D52354437,9EEE7420-AD56-421D-AFC9-259452A270CB,AB23F556-57EC-4461-9A63-9975F3B67B50,01-07-20,0,1651,1651,1,IBKL20091427427,14-09-20,Mogaveera,,11:44.9,11:44.9,5D5D5CED-AD10-4A79-8ED5-3417AB670F5D,0
2384A879-2EBD-4418-BF1D-001EF4E860D7,15D2DA32-BFFE-40FC-9818-8AF59E3DE58D,AB23F556-57EC-4461-9A63-9975F3B67B50,01-08-20,0,2526,2526,0,,02-01-21,,,45:14.8,45:14.8,CAE8566B-4B9F-4B0E-96DF-F5B6E30BCF35,0
1490145A-0A2E-4953-836F-002055B887B1,67799C59-9CFC-4977-B34C-C5A27B31B5E8,AB23F556-57EC-4461-9A63-9975F3B67B50,01-01-22,0,2327,2327,1,129017,17-03-22,EXCELLENT,,57:52.4,57:52.4,ECA42E71-72C1-438C-BCF4-08ED828CFA3C,0
1F0B236D-F726-4E03-B405-00216D0F3561,2EC1FBC9-46B8-4B88-BA6C-9A878D4DBA56,AB23F556-57EC-4461-9A63-9975F3B67B50,01-09-23,0,2336,2336,1,,25-09-23,,,54:11.5,54:11.5,AF7D4715-5F14-47CC-882F-969EAFF24CB6,0
09D2444D-C175-4B5A-B621-0024CF984CE3,47AA05FA-AAF8-4ECA-84FA-B0DD08071406,AB23F556-57EC-4461-9A63-9975F3B67B50,01-04-21,0,1035,1035,0,,29-09-21,,,57:49.3,57:49.3,914E5D08-A632-4602-96A7-73CAF8C4A941,0
F80E31C7-6262-4592-B440-002C0BDE6741,AD5F1E23-8261-4676-930D-07C3A10870F2,AB23F556-57EC-4461-9A63-9975F3B67B50,01-05-21,0,1995,1995,1,,25-06-21,,,19:26.5,19:26.5,95FF63C5-9F09-470B-BB90-73A9B2C71413,0
26F344B2-13B0-4D97-9563-002F30683C6A,F4D05252-2C75-498F-AA66-DBDE9B3F064F,AB23F556-57EC-4461-9A63-9975F3B67B50,01-02-22,0,1283,1283,1,351368921,15-03-22,,,16:35.2,16:35.2,28B288C9-9857-4503-8F89-86EF8ECC2796,0
D440F4A0-2FCD-4736-8AEC-00388C0F8273,5D3592E8-F6EC-436A-9A73-1F9C915C5C05,AB23F556-57EC-4461-9A63-9975F3B67B50,01-09-21,0,2552,2552,1,,30-09-21,,,30:30.2,30:30.2,1092C9F7-2CF5-4C88-A2A9-62F5ACA87106,0
2B002DF5-119C-43C5-9BF2-003B08C322D4,56D39DE1-49E4-4A10-8215-AFBE3FB0C32A,AB23F556-57EC-4461-9A63-9975F3B67B50,01-11-21,0,1396,1396,1,,29-12-21,,,05:07.9,05:07.9,8342B058-7666-45B0-8F78-2F3E58BBD031,0
CFDD90DA-F9BA-43C4-B4CF-003E9B25230E,057DB3BD-B64F-44E2-ABE4-AE5B565B77AF,AB23F556-57EC-4461-9A63-9975F3B67B50,01-08-20,0,1231,1231,0,122,27-10-20,BOM MERCHANTILE BANK,,56:15.9,56:15.9,CEB94E9B-8400-413F-AA65-E2DEAF71E0B7,0
25B74D79-457A-48FE-B457-004423703ADB,D7208AB9-BF74-4539-84FA-FE7AFB7CD678,AB23F556-57EC-4461-9A63-9975F3B67B50,01-05-23,0,5266,5266,1,237249,18-05-23,CANARA,,52:44.0,52:44.0,957819DD-0CFA-400C-A662-E99A2F2575B5,0
51351400-7B90-470B-B88B-00485B33AE8F,B129655C-FD9F-40E4-9993-00F1C1694579,AB23F556-57EC-4461-9A63-9975F3B67B50,01-06-24,0,1770,1770,1,356312,12-06-24,COSMOS,,34:38.6,34:38.6,D3F5E8F2-54D1-4E5C-84D2-B8A575C1B711,0
1CC05BF7-8565-452D-ABD5-00486CA10B72,129A6141-76DC-4DD0-9C42-B89BC152EC8B,AB23F556-57EC-4461-9A63-9975F3B67B50,01-08-24,0,2796,2796,1,6905,05-08-24,BOB,,59:44.8,59:44.8,24BB6DD8-43C3-4CAB-9F91-19454329F37E,0
4B52400B-9B40-48A8-AC89-00516DDBF843,8794C16C-CC1A-4780-BCB9-30AE6C4D9DE4,AB23F556-57EC-4461-9A63-9975F3B67B50,01-12-20,0,2037,2037,1,0,19-12-20,,,52:21.9,52:21.9,64E7958E-4232-4A16-9534-3EAFEA4A12F2,0
577DD967-18E0-4426-8F01-00556A9949A1,75DD556C-7CC7-4A05-869A-CEF0A93710B7,AB23F556-57EC-4461-9A63-9975F3B67B50,01-06-22,0,1720,1720,1,272361,27-06-22,SANGLI,,17:08.6,17:08.6,88758C2B-9A2B-46D1-8B44-0788E5698BFD,0
6330D7D6-F9DE-400E-ACCC-0058D1EEBD07,4A840EE3-C3DF-4C80-8F1C-D039E84EC07F,AB23F556-57EC-4461-9A63-9975F3B67B50,01-06-22,0,3102,3102,1,133089,28-06-22,EXCELLENT,,31:37.8,31:37.8,DEF1206F-EC0D-4B77-BF60-CC91C8898BBB,0
3D5C1AA0-992B-4E3A-8C47-005A4C83DC72,27FC1288-D45E-46EE-93C1-E3A8EB07F241,AB23F556-57EC-4461-9A63-9975F3B67B50,01-11-24,0,4168,4168,1,,15-11-24,,,32:30.6,32:30.6,864E621D-10E4-42D5-8D67-D60F918B6866,0
55044615-1BF2-4A7F-A079-0061ABBF8EBF,F5649DE8-DB0E-4256-ABB0-24AD7F616DB5,AB23F556-57EC-4461-9A63-9975F3B67B50,01-05-24,0,4515,4515,1,4728,21-05-24,BOB,,05:39.2,05:39.2,76E8B3CA-975E-4B06-97CF-0FFE09937963,0
8C2FB39B-5724-439F-8791-006A369FD466,B9A240AF-985B-4AFA-851D-79A106F05AEF,AB23F556-57EC-4461-9A63-9975F3B67B50,01-03-24,0,3735,3735,1,5111,18-03-24,KOTAK,,29:10.9,29:10.9,4B303FD8-03F9-4B63-8A12-4ACA8EE3D5FA,0
BAC931B6-A880-4E3D-AD5D-00791ECE544B,1D90D6F4-6AE4-4F23-82D0-3D0FFC0D1EAA,AB23F556-57EC-4461-9A63-9975F3B67B50,01-04-22,0,2049,2049,1,7555,17-06-22,BOB,,20:28.2,20:28.2,239D3E3D-91DE-4F37-B7BE-63B859756B02,0
112D1815-D63D-4F39-8E83-007D6C317AA0,8794C16C-CC1A-4780-BCB9-30AE6C4D9DE4,AB23F556-57EC-4461-9A63-9975F3B67B50,01-03-25,0,2704,2704,1,,29-03-25,,,29:12.3,29:12.3,F992D6FE-9A4A-4065-AAE5-1B9FFC3A7368,0
55284491-013D-4314-8EDF-0080B2FAFF32,3DC2F219-6A40-41BF-B51D-9CCA67DF74D4,AB23F556-57EC-4461-9A63-9975F3B67B50,01-02-22,0,1252,1252,1,216034,26-03-22,CENTRAL BANK,,21:25.4,21:25.4,D1DA4D8B-053A-4B3D-9C5C-B4DF373B56B3,0
16623060-DBAD-497E-A6D0-008636660C72,80FCF1FF-F6E5-4780-A69B-56A154C62C06,AB23F556-57EC-4461-9A63-9975F3B67B50,01-01-22,0,2443,2443,1,297652,07-03-22,COSMOS,,28:42.9,28:42.9,6C336D5A-C882-4D7B-A6DE-8926B2248C45,0
F437631B-1B4C-4EB2-A482-008679FEC26D,E3E0F511-9991-43F9-B1A8-E3342C1686C1,AB23F556-57EC-4461-9A63-9975F3B67B50,01-01-22,0,1175,1175,1,,12-03-22,,,51:59.5,51:59.5,8D279F5B-DE34-4D34-89BE-8DCC2D985B2A,0
AE274CD4-2FA1-4AAA-B783-0088168A4B72,383795D3-4C30-4EE5-8E23-23E33CEC3B7A,AB23F556-57EC-4461-9A63-9975F3B67B50,01-10-24,0,2586,2586,1,,08-11-24,,,06:55.4,06:55.4,C2034A1A-C71C-4AB5-8012-9EAE93FAFDA0,0
35BBCC32-A59F-4F09-8E55-009356BBE3D2,2E0B52AB-BA40-4177-B519-01D8C9AC41F2,AB23F556-57EC-4461-9A63-9975F3B67B50,01-08-20,0,1081,1081,1,27310299569,29-09-20,NA,NA,49:29.0,49:29.0,58ACB12E-12C3-495C-AFF0-5A461383E618,0
FD95271C-B80C-4D3C-8D93-0098EB78EE83,120E5783-3F01-4825-9F72-11A819477ED1,AB23F556-57EC-4461-9A63-9975F3B67B50,01-08-23,0,3569,3569,1,,04-10-23,,,56:25.3,56:25.3,6E076922-D65C-4EDB-9B43-FD93ABBFCF65,0
BEE2B3BE-5CF4-4E70-B165-00992E8FC3E2,911B04CE-D21E-442C-8EE3-6CA723E9907C,AB23F556-57EC-4461-9A63-9975F3B67B50,01-11-21,0,1955,1955,0,,01-10-21,,,39:55.2,39:55.2,F09F51D7-F434-4A29-9756-DD4EE52AFEFC,0
D7F74484-6FA3-4761-91A8-00A3EA15DDF0,43DA5E34-D244-4B3F-B8BA-D752B6059828,AB23F556-57EC-4461-9A63-9975F3B67B50,01-10-23,0,5047,5047,1,,23-12-23,,,17:03.6,17:03.6,BE35C968-7F43-407D-88F3-61E06B4DEE4C,0
